title,comment,tags,date
CABG failure so soon?  Looking for answers..,"
			    My father underwent quadruple bypass in Dec 2017. Two weeks later, heart attack, two of the four bypasses failed. They were stented, one in each. Last night, another heart attack, the other two failed, both stented, one in each... My questions... is it possible to have an additional bypass surgery performed if something else happens? I have heard from two non medical people that it is not possible. His veins are very very thin in diameter, this is my guess as to why they have all failed... what would....
			","Heart Attack
		        		            ","
				    				    over 2 years ago
				"
Chest pain,"
			    Some quick stats first 6’3 190lbs M 30 Pretty sedentary life and generally poor diet but no other health issues except for some anxiety. I don’t smoke and rarely drink alcohol. Not taking meds Ongoing issue ~6 months I’ve had recurring chest discomfort over the last 6+ months that comes and goes. The pain is not severe and does not interfere with my day to day life. I originally went to a doc in a box who suspected GERD and gave me Ranitidine. It didn’t really seem to help anything. He did comment....
			",NA,"
				    				    over 2 years ago
				"
Blood pressure,"
			    My blood pressure has been at Least 217/173 for the past 24 hours. I am a 46 year old female on several meds for anxiety and depression. I have never had this problem before. Should I be concerned?
			",NA,"
				    				    over 2 years ago
				"
Stuffy head,"
			    I am currently on heart meds and have Copd which I do oxygen and meds for, also have a pacemaker. For the past couple of months I have had the sensation of a bunch of cotton in my head, and it's driving me crazy, hard to think.
			","AFib
		        		        		            High Blood Pressure
		        		            ","
				    				    over 2 years ago
				"
Chest pain,"
			    I am a 46yr old woman who had a colonoscopy three days ago due to findings of having diverticulosis with some bleeding and pain.the procedure came out to be fine but now I feel worse it's been three days I'm very bloated gassy diarrhea constipated and now chest pain what's going on I am drinking plenty of water
			",NA,"
				    				    over 2 years ago
				"
POTS or something else?,"
			    Warning: This is going to be a very long post because I wanted to share my journey and see if anyone relates to me. My journey started in September 2011, but it seemed to be a one-time occurrence and I could directly relate my 'episode' to something stupid I did. One night I took my friend's hydrocodone pills (please don't judge). The next day I started feeling a weird hot feeling in my sternum (not like heartburn), then I immediately felt the urge to have a BM, went to bathroom and....
			",NA,"
				    				    over 2 years ago
				"
I have A-Fib and reduced heart strength (heart failure ?) I was diagnosed with these conditions in Nov of  2016,"
			    I would be interested in hearing from those anyone who has had either or both of these conditions for 10 years or longer, primarily.
			",NA,"
				    				    over 2 years ago
				"
Severe heartburn,"
			    I have had two severe heartburn attacks lately. I take tums and I am fine soon after, but I have never experienced it like this before. I have had heartburn many times before, but not this severe. I am only 36 years old. What could be happening if anyone could take a guess. I do have bad heart problems in my family.
			","Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Nuclear Stress Test,"
			    I recently had a nuclear stress test and the findings were borderline myocardial perfusion. Mild reversible inferolateral defect. It was also noted poor r wave Progression on ekg. What does this finding mean?
			",NA,"
				    				    over 2 years ago
				"
How long it takes for TB test to be out,"
			    Is it possible to have TB and not have any symptoms all your life? I went for medical examination recently for immigration purposes and out of no where I am giving sputum samples, it's over a month now and I'm yet to hear anything, I would like to know how long it takes for a result to be out. Thank you
			",NA,"
				    				    over 2 years ago
				"
Ejection Fraction,"
			    Hi. I recentry had a stress test with nuclear imaging done with a standard echo at the begining of the test. This was done because of mass dizzyness with purfusive sweating episodes then a heart CT that had a calcium score of 533. I am 55 in what I thought was great shape rarly eat red meat last 10 years plus spend about 25 hours a week in the gym with a majority of that spent on cardio. Resting heart rate about 50 standard blood pressure is about 128/80. The test came back my echo showed 64% ejection....
			",NA,"
				    				    over 2 years ago
				"
